Creating time-slice files in output directory: input
MPI Environment Size: 32

[1/32]: Creating file: input/seaice0p1deg.1.nc
[2/32]: Creating file: input/seaice0p1deg.2.nc
[3/32]: Creating file: input/seaice0p1deg.3.nc
[4/32]: Creating file: input/seaice0p1deg.4.nc
[5/32]: Creating file: input/seaice0p1deg.5.nc
[6/32]: Creating file: input/seaice0p1deg.6.nc
[7/32]: Creating file: input/seaice0p1deg.7.nc
[8/32]: Creating file: input/seaice0p1deg.8.nc
[9/32]: Creating file: input/seaice0p1deg.9.nc
[10/32]: Creating file: input/seaice0p1deg.10.nc
[11/32]: Creating file: input/seaice0p1deg.11.nc
[12/32]: Creating file: input/seaice0p1deg.12.nc
[13/32]: Creating file: input/seaice0p1deg.13.nc
[14/32]: Creating file: input/seaice0p1deg.14.nc
[15/32]: Creating file: input/seaice0p1deg.15.nc
[16/32]: Creating file: input/seaice0p1deg.16.nc
[17/32]: Creating file: input/seaice0p1deg.17.nc
[18/32]: Creating file: input/seaice0p1deg.18.nc
[21/32]: Creating file: input/seaice0p1deg.21.nc
[22/32]: Creating file: input/seaice0p1deg.22.nc
[19/32]: Creating file: input/seaice0p1deg.19.nc
[29/32]: Creating file: input/seaice0p1deg.29.nc
[20/32]: Creating file: input/seaice0p1deg.20.nc
[23/32]: Creating file: input/seaice0p1deg.23.nc
[24/32]: Creating file: input/seaice0p1deg.24.nc
[25/32]: Creating file: input/seaice0p1deg.25.nc
[26/32]: Creating file: input/seaice0p1deg.26.nc
[27/32]: Creating file: input/seaice0p1deg.27.nc
[28/32]: Creating file: input/seaice0p1deg.28.nc
[30/32]: Creating file: input/seaice0p1deg.30.nc
[31/32]: Creating file: input/seaice0p1deg.31.nc
[0/32]: Creating file: input/seaice0p1deg.0.nc
[15/32]: Creating file: input/seaice0p1deg.47.nc
[11/32]: Creating file: input/seaice0p1deg.43.nc
[19/32]: Creating file: input/seaice0p1deg.51.nc
[21/32]: Creating file: input/seaice0p1deg.53.nc
[5/32]: Creating file: input/seaice0p1deg.37.nc
[3/32]: Creating file: input/seaice0p1deg.35.nc
[26/32]: Creating file: input/seaice0p1deg.58.nc
[2/32]: Creating file: input/seaice0p1deg.34.nc
[31/32]: Creating file: input/seaice0p1deg.63.nc
[27/32]: Creating file: input/seaice0p1deg.59.nc
[9/32]: Creating file: input/seaice0p1deg.41.nc
[25/32]: Creating file: input/seaice0p1deg.57.nc
[1/32]: Creating file: input/seaice0p1deg.33.nc
[29/32]: Creating file: input/seaice0p1deg.61.nc
[13/32]: Creating file: input/seaice0p1deg.45.nc
[10/32]: Creating file: input/seaice0p1deg.42.nc
[12/32]: Creating file: input/seaice0p1deg.44.nc
[14/32]: Creating file: input/seaice0p1deg.46.nc
[22/32]: Creating file: input/seaice0p1deg.54.nc
[23/32]: Creating file: input/seaice0p1deg.55.nc
[20/32]: Creating file: input/seaice0p1deg.52.nc
[24/32]: Creating file: input/seaice0p1deg.56.nc
[17/32]: Creating file: input/seaice0p1deg.49.nc
[4/32]: Creating file: input/seaice0p1deg.36.nc
[16/32]: Creating file: input/seaice0p1deg.48.nc
[8/32]: Creating file: input/seaice0p1deg.40.nc
[18/32]: Creating file: input/seaice0p1deg.50.nc
[6/32]: Creating file: input/seaice0p1deg.38.nc
[28/32]: Creating file: input/seaice0p1deg.60.nc
[30/32]: Creating file: input/seaice0p1deg.62.nc
[0/32]: Creating file: input/seaice0p1deg.32.nc
[19/32]: Creating file: input/seaice0p1deg.83.nc
[3/32]: Creating file: input/seaice0p1deg.67.nc
[11/32]: Creating file: input/seaice0p1deg.75.nc
[15/32]: Creating file: input/seaice0p1deg.79.nc
[7/32]: Creating file: input/seaice0p1deg.39.nc
[5/32]: Creating file: input/seaice0p1deg.69.nc
[9/32]: Creating file: input/seaice0p1deg.73.nc
[31/32]: Creating file: input/seaice0p1deg.95.nc
[21/32]: Creating file: input/seaice0p1deg.85.nc
[25/32]: Creating file: input/seaice0p1deg.89.nc
[26/32]: Creating file: input/seaice0p1deg.90.nc
[13/32]: Creating file: input/seaice0p1deg.77.nc
[27/32]: Creating file: input/seaice0p1deg.91.nc
[2/32]: Creating file: input/seaice0p1deg.66.nc
[23/32]: Creating file: input/seaice0p1deg.87.nc
[12/32]: Creating file: input/seaice0p1deg.76.nc
[17/32]: Creating file: input/seaice0p1deg.81.nc
[1/32]: Creating file: input/seaice0p1deg.65.nc
[29/32]: Creating file: input/seaice0p1deg.93.nc
[20/32]: Creating file: input/seaice0p1deg.84.nc
[10/32]: Creating file: input/seaice0p1deg.74.nc
[14/32]: Creating file: input/seaice0p1deg.78.nc
[18/32]: Creating file: input/seaice0p1deg.82.nc
[4/32]: Creating file: input/seaice0p1deg.68.nc
[22/32]: Creating file: input/seaice0p1deg.86.nc
[28/32]: Creating file: input/seaice0p1deg.92.nc
[8/32]: Creating file: input/seaice0p1deg.72.nc
[24/32]: Creating file: input/seaice0p1deg.88.nc
[16/32]: Creating file: input/seaice0p1deg.80.nc
[6/32]: Creating file: input/seaice0p1deg.70.nc
[30/32]: Creating file: input/seaice0p1deg.94.nc
[0/32]: Creating file: input/seaice0p1deg.64.nc
[15/32]: Creating file: input/seaice0p1deg.111.nc
[19/32]: Creating file: input/seaice0p1deg.115.nc
[5/32]: Creating file: input/seaice0p1deg.101.nc
[9/32]: Creating file: input/seaice0p1deg.105.nc
[11/32]: Creating file: input/seaice0p1deg.107.nc
[7/32]: Creating file: input/seaice0p1deg.71.nc
[3/32]: Creating file: input/seaice0p1deg.99.nc
[21/32]: Creating file: input/seaice0p1deg.117.nc
[13/32]: Creating file: input/seaice0p1deg.109.nc
[17/32]: Creating file: input/seaice0p1deg.113.nc
[23/32]: Creating file: input/seaice0p1deg.119.nc
[12/32]: Creating file: input/seaice0p1deg.108.nc
[20/32]: Creating file: input/seaice0p1deg.116.nc
[2/32]: Creating file: input/seaice0p1deg.98.nc
[10/32]: Creating file: input/seaice0p1deg.106.nc
[1/32]: Creating file: input/seaice0p1deg.97.nc
[14/32]: Creating file: input/seaice0p1deg.110.nc
[18/32]: Creating file: input/seaice0p1deg.114.nc
[8/32]: Creating file: input/seaice0p1deg.104.nc
[4/32]: Creating file: input/seaice0p1deg.100.nc
[22/32]: Creating file: input/seaice0p1deg.118.nc
[16/32]: Creating file: input/seaice0p1deg.112.nc
[6/32]: Creating file: input/seaice0p1deg.102.nc
[0/32]: Creating file: input/seaice0p1deg.96.nc
[7/32]: Creating file: input/seaice0p1deg.103.nc

Maximum Process Runtime: 600.326924086 seconds
Application 63071023 resources: utime ~8612s, stime ~4646s, Rss ~978548, inblocks ~368031, outblocks ~1255631228
