Execute poe command line: poe  /glade2/scratch2/kpaul/yellowstone/ReshaperBenchmark/sbin/gendata.py -o input -p small. -d 10,100 -v 64,0,1 -n 64
Creating time-slice files in output directory: input
MPI Environment Size: 40

[1/40]: Creating file: input/small.1.nc
[2/40]: Creating file: input/small.2.nc
[3/40]: Creating file: input/small.3.nc
[4/40]: Creating file: input/small.4.nc
[5/40]: Creating file: input/small.5.nc
[6/40]: Creating file: input/small.6.nc
[7/40]: Creating file: input/small.7.nc
[8/40]: Creating file: input/small.8.nc
[9/40]: Creating file: input/small.9.nc
[10/40]: Creating file: input/small.10.nc
[11/40]: Creating file: input/small.11.nc
[12/40]: Creating file: input/small.12.nc
[13/40]: Creating file: input/small.13.nc
[14/40]: Creating file: input/small.14.nc
[15/40]: Creating file: input/small.15.nc
[0/40]: Creating file: input/small.0.nc
[32/40]: Creating file: input/small.32.nc
[33/40]: Creating file: input/small.33.nc
[37/40]: Creating file: input/small.37.nc
[38/40]: Creating file: input/small.38.nc
[34/40]: Creating file: input/small.34.nc
[35/40]: Creating file: input/small.35.nc
[36/40]: Creating file: input/small.36.nc
[39/40]: Creating file: input/small.39.nc
[19/40]: Creating file: input/small.19.nc
[16/40]: Creating file: input/small.16.nc
[21/40]: Creating file: input/small.21.nc
[22/40]: Creating file: input/small.22.nc
[24/40]: Creating file: input/small.24.nc
[26/40]: Creating file: input/small.26.nc
[27/40]: Creating file: input/small.27.nc
[29/40]: Creating file: input/small.29.nc
[30/40]: Creating file: input/small.30.nc
[31/40]: Creating file: input/small.31.nc
[18/40]: Creating file: input/small.18.nc
[20/40]: Creating file: input/small.20.nc
[23/40]: Creating file: input/small.23.nc
[25/40]: Creating file: input/small.25.nc
[28/40]: Creating file: input/small.28.nc
[17/40]: Creating file: input/small.17.nc
[2/40]: Creating file: input/small.42.nc
[10/40]: Creating file: input/small.50.nc
[3/40]: Creating file: input/small.43.nc
[4/40]: Creating file: input/small.44.nc
[7/40]: Creating file: input/small.47.nc
[6/40]: Creating file: input/small.46.nc
[15/40]: Creating file: input/small.55.nc
[1/40]: Creating file: input/small.41.nc
[8/40]: Creating file: input/small.48.nc
[13/40]: Creating file: input/small.53.nc
[9/40]: Creating file: input/small.49.nc
[5/40]: Creating file: input/small.45.nc
[0/40]: Creating file: input/small.40.nc
[11/40]: Creating file: input/small.51.nc
[12/40]: Creating file: input/small.52.nc
[14/40]: Creating file: input/small.54.nc
[20/40]: Creating file: input/small.60.nc
[19/40]: Creating file: input/small.59.nc
[21/40]: Creating file: input/small.61.nc
[17/40]: Creating file: input/small.57.nc
[22/40]: Creating file: input/small.62.nc
[23/40]: Creating file: input/small.63.nc
[18/40]: Creating file: input/small.58.nc
[16/40]: Creating file: input/small.56.nc

Maximum Process Runtime: 1.00424003601 seconds
